iteration,role,step,episode_return,num_episodes,step_rate,duration
1,A2C-actor9,500000,0.0028345340734616748,16934,9.526175702267716,52486.959681099994
1,A2C-actor1,500000,0.002740705433746425,16784,9.50303005821861,52614.7972738
1,A2C-actor3,500000,0.0006998345845527421,15718,9.504115986438155,52608.7855739
1,A2C-actor13,500000,0.0014176018901358536,16930,9.498549205786091,52639.6178161
1,A2C-actor15,500000,0.002359464401580841,16953,9.496971666856265,52648.361766199996
1,A2C-actor11,500000,0.00315588900797904,16794,9.489004122020582,52692.568532000005
1,A2C-actor7,500000,0.0008280593836872301,16907,9.484848302202728,52715.6559672
1,A2C-actor5,500000,0.00414716511641685,16879,9.476519989228295,52761.9844171
1,A2C-actor10,500000,0.0021368789695494746,16847,9.461459435300279,52845.96984419999
1,A2C-actor12,500000,0.0033727810650887573,16900,9.460965288833489,52848.729990600004
1,A2C-actor2,500000,0.003412152050284346,16705,9.451273345625747,52902.9244754
1,A2C-actor4,500000,0.004266605166051661,17344,9.451814437967414,52899.895917500005
1,A2C-actor6,500000,0.0044441810855653,16876,9.452447859537983,52896.35102250001
1,A2C-actor0,500000,0.0030274249079900273,16846,9.447309192545102,52925.12289050001
1,A2C-actor14,500000,0.0037901219945516997,16886,9.45493863514439,52882.416194800004
1,A2C-actor8,500000,0.0034325619932532403,16897,9.450314121706736,52908.29421759999
1,evaluation,20000,0.0,812,326.3390211363611,61.285959400003776
