iteration,train_step,train_episode_return,train_num_episodes,train_step_rate,train_duration,eval_step,eval_episode_return,eval_num_episodes,eval_step_rate,eval_duration
1,600000,0.6892492806696312,11469,143.9490938590882,4168.1401661849995,20000,1.8854625550660793,227,442.40309853094107,45.207639970001765
2,1200000,2.2361159020351846,5798,146.14207716142175,4105.593759538999,40000,0.36182902584493043,503,440.13192808860373,45.44092060500043
3,1800000,0.3452194624021776,14695,146.32075322465064,4100.580312614999,60000,0.2523364485981308,535,435.34058781231226,45.94104147399776
4,2400000,0.2699398284470618,15622,145.79549506858177,4115.353493726001,80000,0.22404371584699453,549,436.3776564573086,45.83186078400104
5,3000000,0.266059718596804,15707,145.91912631905265,4111.866724641004,100000,0.2342007434944238,538,435.7159911944166,45.90145967600256
6,3600000,0.2712646625216332,15601,145.27886327488693,4129.988261710998,120000,0.29446640316205536,506,434.67974086561577,46.01088599200011
7,4200000,0.26432897672935923,15685,145.50022344263556,4123.705007480996,140000,0.24220183486238533,545,433.82088236658126,46.10197621399857
8,4800000,0.26204226692898397,15757,145.9326109407145,4111.486775521007,160000,0.27766990291262134,515,433.2924865870024,46.15819710500364
9,5400000,0.26007860040567954,15776,102.71319491662881,5841.508488631996,180000,0.26806083650190116,526,147.0182178727266,136.0375624829976
10,6000000,0.27302546951376383,15548,97.69978829224523,6141.262028176003,200000,0.26717557251908397,524,439.3416676196811,45.522656907000055
11,6600000,0.27229564994225586,15586,145.39295298322108,4126.7474639520005,220000,0.2751937984496124,516,430.688299708103,46.43729586699919
12,7200000,0.2720051249199231,15610,142.47483286819374,4211.270074308995,240000,0.23431734317343172,542,431.49270465090547,46.35072571199271
13,7800000,0.26518424396442186,15740,142.83851731464495,4200.547662352998,260000,0.28460038986354774,513,434.2719618902483,46.054089960001875
14,8400000,0.2569229798776257,15853,133.37853984533908,4498.474797338,280000,0.2518796992481203,532,373.0016762898536,53.61906198099314
iteration,train_step,train_episode_return,train_num_episodes,train_step_rate,train_duration,eval_step,eval_episode_return,eval_num_episodes,eval_step_rate,eval_duration
1,600000,0.3737158210842421,12654,162.6130939954845,3689.7397697670094,20000,0.0,812,345.78043382970617,57.840172673997586
15,9000000,0.2643597735513008,15721,121.86062540725653,4923.657645731,300000,0.29411764705882354,510,354.7140327284062,56.38344738200249
2,1200000,0.0006870786275604415,23287,165.6428622037963,3622.2508595740073,40000,0.0,1,373.2062798969739,53.589666298008524
16,9600000,0.26910553533805787,15663,125.07761539407069,4797.021418338001,320000,0.23639774859287055,533,352.98363679337774,56.659850245996495
3,1800000,0.0,22,171.15320376696963,3505.631135114003,60000,0.0,1,350.9552293185003,56.987325815993245
17,10200000,0.2616164817749604,15775,125.7007119543212,4773.2426544889895,340000,0.29069767441860467,516,351.90618419241156,56.83332916100335
iteration,train_step,train_episode_return,train_num_episodes,train_step_rate,train_duration,eval_step,eval_episode_return,eval_num_episodes,eval_step_rate,eval_duration
1,600000,0.6562258645842273,11653,115.34855926568576,5201.6254370199995,20000,1.7260869565217392,230,260.1445573294896,76.88033224799983
2,1200000,2.2182153639718214,5962,117.32184565539902,5114.13707011,40000,3.3205128205128207,156,353.76303252776626,56.53501966300064
3,1800000,3.1897456600726684,4954,122.27484681030263,4906.978136973999,60000,2.808988764044944,178,369.5348633698376,54.122092345001874
iteration,train_step,train_episode_return,train_num_episodes,train_step_rate,train_duration,eval_step,eval_episode_return,eval_num_episodes,eval_step_rate,eval_duration
1,600000,0.3707313498461087,13646,153.87853432581795,3899.17932757,20000,0.287109375,512,149.5217768836084,133.75978012599808
4,2400000,4.2227283625029965,4171,91.12847846429963,6584.110808292,80000,4.604651162790698,129,389.3402690860441,51.36894790500082
2,1200000,0.33558912386706946,8275,120.14857477156433,4993.817039784,40000,0.30214424951267055,513,385.14487562808426,51.92851123199944
3,1800000,0.2841366856507848,14398,122.44974009603523,4899.969567346001,60000,0.2656546489563567,527,309.58335554010955,64.60295633499845
